Subject	Block	Trial	Operation	Side	SOA	Delay	Delayjitter	Task	TaskRecNo	Orignum	TaskXY	TaskZ	Solution	VOTtoj	Responsetoj	Accuracytoj	Respright	VOTanalog	Accuracyanalogy_new2
1	3	1	1	-1	-20	250	-80	75	104	144	Album/Foto	Zeitung/?	Artikel	1626.446	1	0	1	1218.64	1
1	3	2	1	-1	-70	750	80	2	57	2	Artikel/Journalist	Roman/?	Autor	1217.482	-1	1	0	1124.752	1
1	3	3	1	1	20	250	-80	54	32	108	Buch/drucken	Brief/?	schreiben	999.053	-1	0	0	908.6473	1
1	3	4	1	1	40	750	40	78	107	153	Schule/Lehrer	Kirche/?	Pfarrer	784.5912	1	1	1	592.3402	1
1	3	5	1	1	40	250	-40	65	38	126	Brille/Auge	Krücke/?	Bein	1000.86	1	1	1	470.1489	1
1	3	6	1	1	110	1500	-80	56	33	111	Wanderung/Rucksack	Reise/?	Koffer	608.2599	1	1	1	560.251	1
1	3	7	1	1	40	250	-80	6	60	19	Mütze/Kopf	Schuh/?	Fuß	868.7707	1	1	1	1255.118	1
1	3	8	1	-1	-70	1500	-80	70	41	134	genau/messen	ungefähr/?	schätzen	818.5077	-1	1	0	427.9744	1
1	3	9	1	-1	-70	1500	80	61	36	118	Gesicht/waschen	Wohnung/?	putzen	804.7367	-1	1	0	558.1718	1
1	3	10	1	-1	-20	750	40	67	101	129	Stuhl/Bank	Sessel/?	Sofa	1660.806	1	0	1	576.4818	1
1	3	11	1	1	40	1500	40	10	6	29	dick/lang	dünn/?	kurz	798.2638	1	1	1	648.3619	1
1	3	12	1	-1	-70	250	40	55	94	109	Mehl/Bäcker	Stoff/?	Schneider	634.2115	-1	1	0	633.9398	1
1	3	13	1	-1	-20	1500	40	26	17	52	eng/weit	Frage/?	Antwort	814.375	1	0	1	538.2288	1
1	3	14	1	-1	-40	250	-40	11	7	30	Mensch/Schuh	Auto/?	Reifen	1243.578	1	0	1	1077.434	0
1	3	15	1	1	20	1500	80	81	47	159	hoffen/verzweifeln	froh/?	unglücklich	1418.688	1	1	1	2429.866	1
1	3	16	1	-1	-110	750	-40	58	97	114	Wand/Stein	Tisch/?	Holz	604.0968	-1	1	0	778.5344	1
1	3	17	1	1	20	1500	-40	50	90	103	Sommer/Regen	Winter/?	Schnee	1131.001	1	1	1	712.4524	0
1	3	18	1	-1	-20	750	80	96	120	187	Milimeter/Meter	Meter/?	Kilometer	952.9922	-1	1	0	448.2491	1
1	3	19	1	1	40	750	80	19	11	41	Bauer/Bauernhof	Arzt/?	Krankenhaus	786.9953	1	1	1	566.3381	1
1	3	20	1	-1	-20	750	-40	63	37	123	ich/mich	wir/?	uns	756.1525	-1	1	0	500.3165	1
1	3	21	1	-1	-40	1500	80	21	12	45	Hase/Karotte	Wolf/?	Schaf	1004.765	-1	1	0	2492.322	1
1	3	22	1	-1	-70	1500	-40	27	18	53	gewinnen/verlieren	oben/?	unten	764.3915	-1	1	0	382.2195	1
1	3	23	1	1	40	1500	40	23	14	47	Auto/Straße	Zug/?	Schiene	975.1246	1	1	1	1113.193	1
1	3	24	1	1	110	250	-80	16	9	37	links/rechts	horizontal/?	vertikal	790.0995	1	1	1	490.1191	1
1	3	25	1	1	40	750	-80	52	91	105	Würfel/eckig	Ball/?	rund	641.7042	1	1	1	408.1739	1
1	3	26	1	-1	-110	750	80	91	115	177	Winter/wärmen	Sommer/?	kühlen	1271.122	-1	1	0	456.1548	1
1	3	27	1	-1	-70	750	40	84	50	163	Vertrauen/Experte	Unsicherheit/?	Anfänger	700.3594	-1	1	0	486.1064	1
1	3	28	1	-1	-110	250	-80	60	35	117	Lokomotive/Dampf	Straßenbahn/?	Strom	1089.134	-1	1	0	1788.073	1
1	3	29	1	-1	-110	250	80	33	71	63	Koch/Herd	Bäcker/?	Backofen	1226.994	-1	1	0	1592.577	1
1	3	30	1	1	20	250	40	92	56	179	Wettlauf/Stoppuhr	Weitsprung/?	Metermaß	1201.298	1	1	1	462.2605	1
1	3	31	1	-1	-70	1500	-40	59	34	115	einsteigen/Abfahrt	aussteigen/?	Ankunft	620.39	-1	1	0	498.1658	1
1	3	32	1	-1	-40	250	80	83	49	161	klein/groß	kurz/?	lang	684.4903	-1	1	0	312.0771	1
1	4	33	1	-1	-110	750	80	1	1	1	Buchstabe/Ziffer	Wort/?	Zahl	1420.325	-1	1	0	690.6398	1
1	4	34	1	1	70	250	-80	44	27	80	Apfel/Schale	Apfelbaum/?	Rinde	944.5357	1	1	1	635.8994	1
1	4	35	1	-1	-20	250	40	40	24	75	Haus/Dach	Zimmer/?	Decke	988.5722	-1	1	0	743.6793	1
1	4	36	1	1	70	250	40	39	78	74	wann/Zeit	wo/?	Ort	574.8361	1	1	1	356.1116	1
1	4	37	1	-1	-70	1500	40	43	79	79	Quadrat/Kreis	Würfel/?	Kugel	1166.995	1	0	1	2212.805	0
1	4	38	1	-1	-110	1500	80	13	8	34	Pilot/Flugzeug	Zugführer/?	Zug	966.8646	-1	1	0	1038.479	1
1	4	39	1	-1	-70	1500	-80	35	74	66	Tisch/Tischbein	Brücke/?	Pfeiler	692.3467	-1	1	0	736.2786	1
1	4	40	1	-1	-40	250	40	72	43	136	Frage/Antwort	Rätsel/?	Lösung	1180.918	-1	1	0	536.3568	1
1	4	41	1	1	110	1500	40	5	3	16	hier/dort	nah/?	fern	752.5599	1	1	1	818.5278	1
1	4	42	1	-1	-70	1500	40	45	81	85	Schiff/anlegen	Flugzeug/?	landen	840.552	-1	1	0	372.0964	1
