Subject	Block	Trial	Operation	Side	SOA	Delay	Delayjitter	VOTtoj	Responsetoj	Accuracytoj	Respright
1	3	1	0	-1	-40	250	-40	1203.547	-1	1	0
1	3	2	0	-1	-40	250	-80	752.9908	-1	1	0
1	3	3	0	1	70	250	80	602.6502	1	1	1
1	3	4	0	1	110	250	-40	752.7342	1	1	1
1	3	5	0	1	110	750	-40	602.7399	1	1	1
1	3	6	0	1	70	1500	-80	902.8667	1	1	1
1	3	7	0	-1	-110	250	80	752.7369	-1	1	0
1	3	8	0	1	20	750	-40	1203.146	-1	0	0
1	3	9	0	1	110	250	40	752.8609	1	1	1
1	3	10	0	1	40	1500	80	902.8718	1	1	1
1	3	11	0	1	20	250	80	1203.317	1	1	1
1	3	12	0	-1	-40	1500	80	752.8049	-1	1	0
1	3	13	0	1	20	250	40	1504.529	-1	0	0
1	3	14	0	-1	-110	1500	-80	752.8759	-1	1	0
1	3	15	0	1	70	1500	80	752.8629	1	1	1
1	3	16	0	1	110	750	-80	753.2877	1	1	1
1	3	17	0	-1	-110	250	-40	902.8564	-1	1	0
1	3	18	0	-1	-70	1500	40	752.8759	1	0	1
1	3	19	0	-1	-40	750	-40	1655.122	-1	1	0
1	3	20	0	1	70	250	-80	1203.212	1	1	1
1	3	21	0	-1	-20	250	-40	902.8967	-1	1	0
1	3	22	0	1	110	750	40	752.8621	1	1	1
1	3	23	0	-1	-110	250	40	602.6637	-1	1	0
1	3	24	0	1	40	250	40	752.7697	1	1	1
1	3	25	0	-1	-40	250	-80	602.7099	-1	1	0
1	3	26	0	1	110	1500	80	752.9438	1	1	1
1	3	27	0	1	70	1500	40	602.6684	1	1	1
1	3	28	0	1	110	750	-40	602.6637	1	1	1
1	3	29	0	1	40	1500	40	752.8396	1	1	1
1	3	30	0	1	110	750	-80	752.7618	1	1	1
1	3	31	0	1	40	1500	-40	752.3062	1	1	1
1	3	32	0	-1	-110	750	-40	602.7051	-1	1	0
1	3	33	0	-1	-70	1500	40	752.763	-1	1	0
1	3	34	0	-1	-40	1500	-80	1203.242	-1	1	0
1	3	35	0	-1	-40	750	-80	1353.752	-1	1	0
1	3	36	0	-1	-70	250	-80	759.949	-1	1	0
1	3	37	0	1	70	250	40	602.6795	1	1	1
1	3	38	0	-1	-20	750	-80	1052.985	-1	1	0
1	3	39	0	1	110	250	80	752.8668	1	1	1
1	3	40	0	1	70	250	-40	902.383	1	1	1
1	3	41	0	-1	-70	750	-40	753.0729	-1	1	0
1	3	42	0	1	20	1500	80	902.8667	1	1	1
1	3	43	0	-1	-70	250	40	602.4793	-1	1	0
1	3	44	0	-1	-70	1500	-40	752.2371	-1	1	0
1	3	45	0	1	110	750	80	753.1211	1	1	1
1	3	46	0	-1	-70	250	80	602.668	-1	1	0
1	3	47	0	1	40	750	40	602.7391	1	1	1
1	3	48	0	-1	-20	1500	-80	1053.06	-1	1	0
1	4	49	0	-1	-40	250	80	1353.525	1	0	1
1	4	50	0	-1	-40	250	40	1505.8	-1	1	0
1	4	51	0	1	70	250	40	752.7223	1	1	1
1	4	52	0	-1	-40	1500	40	1353.596	1	0	1
1	4	53	0	1	20	250	80	1203.47	1	1	1
1	4	54	0	1	70	250	80	1053.103	1	1	1
1	4	55	0	1	110	1500	40	752.8155	1	1	1
1	4	56	0	1	70	750	40	902.886	1	1	1
1	4	57	0	1	70	1500	40	902.8714	1	1	1
