"Recnum"	"TaskXY"	"TaskZ"	"Lösung.1"	"Lösung.2"	"Lösung.3"	"Lösung.4"	"Lösung.5"	"Lösung.6"	"Lösung.7"	"Lösung.8"	"Lösung.9"
1	"Buchstabe/Ziffer"	"Wort/?"	"Zahl"	"Zahlenreihe"	NA	NA	NA	NA	NA	NA	NA
2	"Partei/Wähler"	"Produkt/?"	"Käufer"	"Kunde"	"Abnehmer"	"Konsument"	"Nutzer"	"Verbraucher"	NA	NA	NA
3	"hier/dort"	"nah/?"	"fern"	"weit weg"	"weit"	NA	NA	NA	NA	NA	NA
4	"alles/nichts"	"immer/?"	"nie"	"niemals"	NA	NA	NA	NA	NA	NA	NA
5	"Fußballer/Fußballplatz"	"Schwimmer/?"	"Schwimmbecken"	"Becken"	"Wasserbecken"	"Schwimmhalle"	"Swimmingpool"	"Schwimmbad"	NA	NA	NA
6	"dick/lang"	"dünn/?"	"kurz"	"klein"	NA	NA	NA	NA	NA	NA	NA
7	"Mensch/Schuh"	"Auto/?"	"Reifen"	"Autoreifen"	"Räder"	NA	NA	NA	NA	NA	NA
8	"Pilot/Flugzeug"	"Zugführer/?"	"Zug"	"Lokomotive"	"Bahn"	"Eisenbahn"	"Lok"	NA	NA	NA	NA
9	"links/rechts"	"horizontal/?"	"vertikal"	"senkrecht"	NA	NA	NA	NA	NA	NA	NA
10	"Haar/Shampoo"	"Zähne/?"	"Zahnpasta"	"Zahncreme"	NA	NA	NA	NA	NA	NA	NA
11	"Bauer/Bauernhof"	"Arzt/?"	"Krankenhaus"	"Klinik"	"Praxis"	"Arztpraxis"	NA	NA	NA	NA	NA
12	"Hase/Karotte"	"Wolf/?"	"Schaf"	"Lamm"	"Hase"	"Gans"	"Kaninchen"	"Wild"	"Reh"	"Fleisch"	NA
13	"Brot/Toaster"	"Speck/?"	"Bratpfanne"	"Pfanne"	NA	NA	NA	NA	NA	NA	NA
14	"Auto/Straße"	"Zug/?"	"Schiene"	"Gleise"	"Bahngleise"	"Eisenbahnschienen"	"Schienen"	"Gleis"	"Zugstrecke"	NA	NA
15	"Sandwich/Tüte"	"Hammer/?"	"Werkzeugkasten"	"Werkzeugkiste"	"Werkzeugkoffer"	"Kasten"	"Kiste"	"Werkzeugbox"	NA	NA	NA
16	"Beginn/Ende"	"fern/?"	"nah"	"Näherin"	"näher"	"nahe"	NA	NA	NA	NA	NA
17	"eng/weit"	"Frage/?"	"Antwort"	NA	NA	NA	NA	NA	NA	NA	NA
18	"gewinnen/verlieren"	"oben/?"	"unten"	NA	NA	NA	NA	NA	NA	NA	NA
19	"schwach/stark"	"arm/?"	"reich"	"Bein"	NA	NA	NA	NA	NA	NA	NA
20	"Wort/Satz"	"Teller/?"	"Geschirr"	"Tischgedeck"	"Geschirrservice"	"Service"	"Gedeck"	NA	NA	NA	NA
21	"Drehbuch/Spielfilm"	"Kochrezept/?"	"Gericht"	"Mahlzeit"	"Essen"	NA	NA	NA	NA	NA	NA
22	"Schmerz/nachlassen"	"Hitze/?"	"abkühlen"	"Abkühlung"	NA	NA	NA	NA	NA	NA	NA
23	"Katze/Maus"	"Spinne/?"	"Fliege"	"Insekt"	"Insekten"	"Ameise"	NA	NA	NA	NA	NA
24	"Haus/Dach"	"Zimmer/?"	"Decke"	NA	NA	NA	NA	NA	NA	NA	NA
25	"Redner/Hörer"	"Zauberer/?"	"Zuschauer"	"Publikum"	"Verzauberte"	"Verzauberter"	"Bezauberter"	"Verzauberten"	NA	NA	NA
26	"stottern/sprechen"	"stolpern/?"	"gehen"	"laufen"	"Laufen"	NA	NA	NA	NA	NA	NA
